block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,V,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,281.2295,286.2301,23,2026-03-18_12:40:26.103193,12:45:12.333160,
1,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,287.2298,292.2299,24,2026-03-18_12:40:26.103193,12:45:18.332967,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,317.2296,322.2296,0,2026-03-18_12:40:26.103193,12:45:48.332576,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,323.2302,327.2299,1,2026-03-18_12:40:26.103193,12:45:53.332891,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,328.2296,332.2301,2,2026-03-18_12:40:26.103193,12:45:58.333140,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,333.2296,337.23,3,2026-03-18_12:40:26.103193,12:46:03.333022,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,338.2292,342.2296,4,2026-03-18_12:40:26.103193,12:46:08.332582,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,L,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,343.23,347.2299,5,2026-03-18_12:40:26.103193,12:46:13.332895,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,348.2295,352.2296,6,2026-03-18_12:40:26.103193,12:46:18.332631,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,353.23,357.2295,7,2026-03-18_12:40:26.103193,12:46:23.332564,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,S,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,358.2301,362.2296,8,2026-03-18_12:40:26.103193,12:46:28.332585,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,363.2301,367.2295,9,2026-03-18_12:40:26.103193,12:46:33.332513,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,S,1,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,368.2293,372.2301,10,2026-03-18_12:40:26.103193,12:46:38.333154,
