block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,G,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,191.9303,194.4474,4,2026-03-17_17:11:39.067225,17:14:53.514432,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,194.464,196.9832,5,2026-03-17_17:11:39.067225,17:14:56.050238,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,196.9994,199.5305,6,2026-03-17_17:11:39.067225,17:14:58.597512,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,N,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,199.5471,202.0652,7,2026-03-17_17:11:39.067225,17:15:01.132212,
2,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,K,1,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,202.0805,204.6139,8,2026-03-17_17:11:39.067225,17:15:03.680976,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,C,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,204.6307,207.1482,9,2026-03-17_17:11:39.067225,17:15:06.215306,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,D,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,207.1648,209.6976,10,2026-03-17_17:11:39.067225,17:15:08.764684,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,209.7144,212.2477,11,2026-03-17_17:11:39.067225,17:15:11.314795,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,G,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,212.2645,214.7816,12,2026-03-17_17:11:39.067225,17:15:13.848618,
2,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,2,2-back,25,vds,0,12.0,-1,base,01,0.5,214.798,217.3147,13,2026-03-17_17:11:39.067225,17:15:16.381723,
